Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_200_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
1.4,0.2,-1,0,0.9302942259214433,0.06970577407855671
1.5,0.2,-1,0,0.9387989744664083,0.061201025533591746
1.6,0.2,-1,0,0.9463338460498107,0.053666153950189255
1.7,0.2,-1,0,0.9527724799884254,0.0472275200115746
1.8,0.2,-1,0,0.957888800973592,0.04211119902640803
1.9,0.2,-1,0,0.9614968355632527,0.038503164436747284
2.0,0.2,-1,0,0.9635165900313041,0.03648340996869592
2.1,0.2,-1,0,0.9639760278860194,0.03602397211398056
2.2,0.2,-1,0,0.9629840650463848,0.037015934953615215
2.3,0.2,-1,0,0.9607048026996381,0.039295197300361906
2.4,0.2,-1,0,0.9573413152512558,0.042658684748744236
2.5,0.2,-1,0,0.9531224499364725,0.04687755006352745
2.6,0.2,-1,0,0.9482865242171101,0.05171347578288987
2.7,0.2,-1,0,0.9430627458415302,0.05693725415846984
2.8,0.2,-1,0,0.9376550341937673,0.06234496580623272
2.9,0.2,-1,0,0.9322318826940545,0.06776811730594545
3.0,0.2,-1,0,0.9269229576506177,0.07307704234938228
3.1,0.2,-1,0,0.9218209549513858,0.07817904504861417
3.2,0.2,-1,0,0.9169865323787008,0.08301346762129924
3.3,0.2,-1,0,0.9124544243602486,0.0875455756397514
3.4,0.2,-1,0,0.9082394842129133,0.09176051578708666
3.5,0.2,-1,0,0.9043419955488616,0.09565800445113837
3.6,0.2,-1,0,0.9007520129594013,0.09924798704059867
3.7,0.2,-1,0,0.8974527343984846,0.10254726560151539
3.8,0.2,-1,0,0.8944230227911021,0.10557697720889792
3.9,0.2,-1,0,0.8916392323036462,0.10836076769635383
4.0,0.2,-1,0,0.8890764923031611,0.1109235076968389
4.1,0.2,-1,0,0.88670958205023,0.11329041794977002
4.2,0.2,-1,0,0.8845135041912044,0.11548649580879555
4.3,0.2,-1,0,0.8824638412135073,0.1175361587864927
4.4,0.2,-1,0,0.880536958589687,0.11946304141031305
4.5,0.2,-1,0,0.8787101019576085,0.12128989804239154
4.6,0.2,-1,0,0.8769614230359366,0.1230385769640634
4.7,0.2,-1,0,0.8752699594442674,0.12473004055573256
4.8,0.2,-1,0,0.8736155866055242,0.12638441339447581
4.9,0.2,-1,0,0.8719789547604933,0.12802104523950675
5.0,0.2,-1,0,0.8703414204657065,0.1296585795342935
5.1,0.2,-1,0,0.868684979281511,0.131315020718489
5.2,0.2,-1,0,0.8669922044902023,0.1330077955097977
