Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_30_2_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
1.5,0.2,-1,0,0.9877580793024663,0.012241920697533715
1.6,0.2,-1,0,0.9910280137075915,0.008971986292408474
1.7,0.2,-1,0,0.9933124019453317,0.006687598054668342
1.8,0.2,-1,0,0.9949098975451989,0.0050901024548011264
1.9,0.2,-1,0,0.9960356391509322,0.003964360849067816
2.0,0.2,-1,0,0.9968387657073663,0.003161234292633708
2.1,0.2,-1,0,0.9974205035745172,0.00257949642548283
2.2,0.2,-1,0,0.997848956540679,0.002151043459321045
2.3,0.2,-1,0,0.9981699371742252,0.001830062825774803
2.4,0.2,-1,0,0.9984144419610175,0.0015855580389825263
2.5,0.2,-1,0,0.9986036473824242,0.001396352617575758
2.6,0.2,-1,0,0.9987521974427409,0.0012478025572590923
2.7,0.2,-1,0,0.9988703560082968,0.001129643991703233
2.8,0.2,-1,0,0.9989654184921619,0.0010345815078380838
2.9,0.2,-1,0,0.9990426435978179,0.0009573564021820857
3.0,0.2,-1,0,0.9991058739608434,0.0008941260391566175
3.1,0.2,-1,0,0.9991579541074316,0.0008420458925684216
3.2,0.2,-1,0,0.9992010153015372,0.0007989846984628457
3.3,0.2,-1,0,0.9992366720930477,0.0007633279069523269
3.4,0.2,-1,0,0.9992661596311336,0.0007338403688663675
3.5,0.2,-1,0,0.9992904307871413,0.0007095692128586961
3.6,0.2,-1,0,0.9993102256505608,0.0006897743494391761
3.7,0.2,-1,0,0.999326121833974,0.0006738781660260429
3.8,0.2,-1,0,0.9993385712517693,0.0006614287482307191
3.9,0.2,-1,0,0.9993479272849299,0.0006520727150700623
4.0,0.2,-1,0,0.9993544650046715,0.0006455349953284895
4.1,0.2,-1,0,0.9993583963483843,0.0006416036516156964
4.2,0.2,-1,0,0.9993598815661926,0.0006401184338074017
4.3,0.2,-1,0,0.999359037891395,0.000640962108604981
4.4,0.2,-1,0,0.9993559461217956,0.0006440538782044314
4.5,0.2,-1,0,0.9993506555973681,0.0006493444026318684
4.6,0.2,-1,0,0.9993431879486252,0.0006568120513747999
4.7,0.2,-1,0,0.9993335398788759,0.0006664601211241461
4.8,0.2,-1,0,0.9993216851800071,0.0006783148199929201
4.9,0.2,-1,0,0.9993075761317414,0.0006924238682586292
5.0,0.2,-1,0,0.9992911443922594,0.0007088556077405883
5.1,0.2,-1,0,0.9992723014689773,0.0007276985310227246
5.2,0.2,-1,0,0.9992509388206372,0.0007490611793627977
5.3,0.2,-1,0,0.9992269276507386,0.0007730723492613834
5.4,0.2,-1,0,0.9992001184119772,0.0007998815880227994
5.5,0.2,-1,0,0.9991703400505685,0.000829659949431516
5.6,0.2,-1,0,0.9991373990110333,0.000862600988966733
5.7,0.2,-1,0,0.9991010779989438,0.0008989220010562349
5.8,0.2,-1,0,0.9990611345170919,0.0009388654829081133
5.9,0.2,-1,0,0.9990172991711006,0.0009827008288993966
6.0,0.2,-1,0,0.9989692737361793,0.0010307262638207249
6.1,0.2,-1,0,0.9989167289876377,0.0010832710123622746
6.2,0.2,-1,0,0.9988593022784471,0.0011406977215528968
6.3,0.2,-1,0,0.9987965948538431,0.0012034051461569106
6.4,0.2,-1,0,0.9987281688916028,0.0012718311083972367
6.5,0.2,-1,0,0.9986535442477589,0.001346455752241127
6.6,0.2,-1,0,0.9985721948951323,0.0014278051048677298
6.7,0.2,-1,0,0.9984835450278524,0.001516454972147585
6.8,0.2,-1,0,0.9983869648185646,0.0016130351814354071
6.9,0.2,-1,0,0.9982817658036538,0.0017182341963462022
7.0,0.2,-1,0,0.9981671958678362,0.0018328041321638011
