,Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase
521,5.2,0.125,1100.0,-1
522,5.2,0.125,1200.0,-1
523,5.2,0.125,1500.0,-1
524,5.2,0.125,2000.0,-1
525,5.6,0.125,100.0,-1
526,5.6,0.125,300.0,-1
527,5.6,0.125,500.0,-1
528,5.6,0.125,600.0,-1
529,5.6,0.125,800.0,-1
530,5.6,0.125,900.0,-1
531,5.6,0.125,1000.0,-1
532,5.6,0.125,1100.0,-1
533,5.6,0.125,1200.0,-1
534,5.6,0.125,1500.0,-1
535,5.6,0.125,2000.0,-1
536,6.0,0.125,100.0,-1
537,6.0,0.125,300.0,-1
538,6.0,0.125,500.0,-1
539,6.0,0.125,600.0,-1
540,6.0,0.125,800.0,-1
541,6.0,0.125,900.0,-1
542,6.0,0.125,1000.0,-1
543,6.0,0.125,1100.0,-1
544,6.0,0.125,1200.0,-1
545,6.0,0.125,1500.0,-1
546,6.0,0.125,2000.0,-1
547,6.4,0.125,100.0,-1
548,6.4,0.125,300.0,-1
549,6.4,0.125,500.0,-1
550,6.4,0.125,600.0,-1
551,6.4,0.125,800.0,-1
552,6.4,0.125,900.0,-1
553,6.4,0.125,1000.0,-1
554,6.4,0.125,1100.0,-1
555,6.4,0.125,1200.0,-1
556,6.4,0.125,1500.0,-1
557,6.4,0.125,2000.0,-1
558,6.8,0.125,100.0,-1
559,6.8,0.125,300.0,-1
560,6.8,0.125,500.0,-1
561,6.8,0.125,600.0,-1
562,6.8,0.125,800.0,-1
563,6.8,0.125,900.0,-1
564,6.8,0.125,1000.0,-1
565,6.8,0.125,1100.0,-1
566,6.8,0.125,1200.0,-1
567,6.8,0.125,1500.0,-1
568,6.8,0.125,2000.0,-1
569,7.2,0.125,100.0,-1
570,7.2,0.125,300.0,-1
571,7.2,0.125,500.0,-1
572,7.2,0.125,600.0,-1
573,7.2,0.125,800.0,-1
574,7.2,0.125,900.0,-1
575,7.2,0.125,1000.0,-1
576,7.2,0.125,1100.0,-1
577,7.2,0.125,1200.0,-1
578,7.2,0.125,1500.0,-1
579,7.2,0.125,2000.0,-1
580,7.6,0.125,100.0,-1
581,7.6,0.125,300.0,-1
582,7.6,0.125,500.0,-1
583,7.6,0.125,600.0,-1
584,7.6,0.125,800.0,-1
585,7.6,0.125,900.0,-1
586,7.6,0.125,1000.0,-1
587,7.6,0.125,1100.0,-1
588,7.6,0.125,1200.0,-1
589,7.6,0.125,1500.0,-1
590,7.6,0.125,2000.0,-1
591,0.0625,0.25,100.0,-1
592,0.0625,0.25,300.0,-1
593,0.0625,0.25,500.0,-1
594,0.0625,0.25,600.0,-1
595,0.0625,0.25,800.0,-1
596,0.0625,0.25,900.0,-1
597,0.0625,0.25,1000.0,-1
598,0.0625,0.25,1100.0,-1
599,0.0625,0.25,1200.0,-1
600,0.0625,0.25,1500.0,-1
601,0.0625,0.25,2000.0,-1
602,0.125,0.25,100.0,-1
603,0.125,0.25,300.0,-1
604,0.125,0.25,500.0,-1
605,0.125,0.25,600.0,-1
606,0.125,0.25,800.0,-1
607,0.125,0.25,900.0,-1
608,0.125,0.25,1000.0,-1
609,0.125,0.25,1100.0,-1
610,0.125,0.25,1200.0,-1
611,0.125,0.25,1500.0,-1
612,0.125,0.25,2000.0,-1
613,0.25,0.25,100.0,-1
614,0.25,0.25,300.0,-1
615,0.25,0.25,600.0,-1
616,0.25,0.25,800.0,-1
617,0.25,0.25,900.0,-1
618,0.25,0.25,1100.0,-1
619,0.25,0.25,1200.0,-1
620,0.3,0.25,100.0,-1
621,0.3,0.25,300.0,-1
622,0.3,0.25,500.0,-1
623,0.3,0.25,600.0,-1
624,0.3,0.25,800.0,-1
625,0.3,0.25,900.0,-1
626,0.3,0.25,1000.0,-1
627,0.3,0.25,1100.0,-1
628,0.3,0.25,1200.0,-1
629,0.3,0.25,1500.0,-1
630,0.3,0.25,2000.0,-1
631,0.5,0.25,100.0,-1
632,0.5,0.25,300.0,-1
633,0.5,0.25,500.0,-1
634,0.5,0.25,600.0,-1
635,0.5,0.25,800.0,-1
636,0.5,0.25,900.0,-1
637,0.5,0.25,1000.0,0
638,0.5,0.25,1100.0,-1
639,0.5,0.25,1200.0,-1
640,0.5,0.25,1500.0,-1
641,0.5,0.25,2000.0,-1
642,0.6,0.25,100.0,-1
643,0.6,0.25,300.0,-1
644,0.6,0.25,500.0,-1
645,0.6,0.25,600.0,-1
646,0.6,0.25,800.0,-1
647,0.6,0.25,900.0,-1
648,0.6,0.25,1000.0,-1
649,0.6,0.25,1100.0,-1
650,0.6,0.25,1200.0,-1
651,0.6,0.25,1500.0,-1
652,0.6,0.25,2000.0,-1
653,0.8,0.25,100.0,-1
654,0.8,0.25,300.0,-1
655,0.8,0.25,500.0,-1
656,0.8,0.25,600.0,-1
657,0.8,0.25,800.0,-1
658,0.8,0.25,900.0,-1
659,0.8,0.25,1000.0,-1
660,0.8,0.25,1100.0,-1
661,0.8,0.25,1200.0,-1
662,0.8,0.25,1500.0,-1
663,0.8,0.25,2000.0,-1
664,1.0,0.25,100.0,-1
665,1.0,0.25,300.0,-1
666,1.0,0.25,500.0,-1
667,1.0,0.25,600.0,-1
668,1.0,0.25,800.0,-1
669,1.0,0.25,900.0,-1
670,1.0,0.25,1000.0,-1
671,1.0,0.25,1100.0,-1
672,1.0,0.25,1200.0,-1
673,1.0,0.25,1500.0,-1
674,1.0,0.25,2000.0,-1
675,1.2,0.25,100.0,-1
676,1.2,0.25,300.0,-1
677,1.2,0.25,500.0,-1
678,1.2,0.25,600.0,-1
679,1.2,0.25,800.0,-1
680,1.2,0.25,900.0,-1
681,1.2,0.25,1000.0,-1
682,1.2,0.25,1100.0,-1
683,1.2,0.25,1200.0,-1
684,1.2,0.25,1500.0,-1
685,1.2,0.25,2000.0,-1
686,1.6,0.25,100.0,-1
687,1.6,0.25,300.0,-1
688,1.6,0.25,500.0,-1
689,1.6,0.25,600.0,-1
690,1.6,0.25,800.0,-1
691,1.6,0.25,900.0,-1
692,1.6,0.25,1000.0,-1
693,1.6,0.25,1100.0,-1
694,1.6,0.25,1200.0,-1
695,1.6,0.25,1500.0,-1
696,1.6,0.25,2000.0,-1
697,2.0,0.25,100.0,-1
698,2.0,0.25,300.0,-1
699,2.0,0.25,500.0,-1
700,2.0,0.25,600.0,-1
701,2.0,0.25,800.0,-1
702,2.0,0.25,900.0,-1
703,2.0,0.25,1000.0,-1
704,2.0,0.25,1100.0,-1
705,2.0,0.25,1200.0,-1
706,2.0,0.25,1500.0,-1
707,2.0,0.25,2000.0,-1
708,2.4,0.25,100.0,-1
709,2.4,0.25,300.0,-1
710,2.4,0.25,500.0,-1
711,2.4,0.25,600.0,-1
712,2.4,0.25,800.0,-1
713,2.4,0.25,900.0,-1
714,2.4,0.25,1000.0,-1
715,2.4,0.25,1100.0,-1
716,2.4,0.25,1200.0,-1
717,2.4,0.25,1500.0,-1
718,2.4,0.25,2000.0,-1
719,2.8,0.25,100.0,-1
720,2.8,0.25,300.0,-1
721,2.8,0.25,500.0,-1
722,2.8,0.25,600.0,-1
723,2.8,0.25,800.0,-1
724,2.8,0.25,900.0,-1
725,2.8,0.25,1000.0,-1
726,2.8,0.25,1100.0,-1
727,2.8,0.25,1200.0,-1
728,2.8,0.25,1500.0,-1
729,2.8,0.25,2000.0,-1
730,3.2,0.25,100.0,-1
731,3.2,0.25,300.0,-1
732,3.2,0.25,500.0,-1
733,3.2,0.25,600.0,-1
734,3.2,0.25,800.0,-1
735,3.2,0.25,900.0,1
736,3.2,0.25,1000.0,-1
737,3.2,0.25,1100.0,-1
738,3.2,0.25,1200.0,-1
739,3.2,0.25,1500.0,-1
740,3.2,0.25,2000.0,-1
741,3.6,0.25,100.0,-1
742,3.6,0.25,300.0,-1
743,3.6,0.25,500.0,-1
744,3.6,0.25,600.0,-1
745,3.6,0.25,800.0,-1
746,3.6,0.25,900.0,-1
747,3.6,0.25,1000.0,-1
748,3.6,0.25,1100.0,-1
749,3.6,0.25,1200.0,-1
750,3.6,0.25,1500.0,-1
751,3.6,0.25,2000.0,-1
752,4.0,0.25,100.0,-1
753,4.0,0.25,300.0,-1
754,4.0,0.25,500.0,-1
755,4.0,0.25,600.0,-1
756,4.0,0.25,800.0,-1
757,4.0,0.25,900.0,-1
758,4.0,0.25,1000.0,-1
759,4.0,0.25,1100.0,-1
760,4.0,0.25,1200.0,-1
761,4.0,0.25,1500.0,-1
762,4.0,0.25,2000.0,-1
763,4.4,0.25,100.0,-1
764,4.4,0.25,300.0,-1
765,4.4,0.25,500.0,-1
766,4.4,0.25,600.0,-1
767,4.4,0.25,800.0,-1
768,4.4,0.25,900.0,-1
769,4.4,0.25,1000.0,-1
770,4.4,0.25,1100.0,-1
771,4.4,0.25,1200.0,-1
772,4.4,0.25,1500.0,-1
773,4.4,0.25,2000.0,-1
774,4.8,0.25,100.0,-1
775,4.8,0.25,300.0,-1
776,4.8,0.25,500.0,-1
777,4.8,0.25,600.0,-1
