Conc_SIGMA_Asp_250_(mM),Conc_AP_Lys_100_(mM),Conc_NaCl_(mM),Phase
1.2,0.25,1200.0,-1
1.2,0.25,1500.0,-1
1.2,0.25,2000.0,-1
1.6,0.25,100.0,-1
1.6,0.25,300.0,-1
1.6,0.25,500.0,-1
1.6,0.25,600.0,-1
1.6,0.25,800.0,-1
1.6,0.25,900.0,-1
1.6,0.25,1000.0,-1
1.6,0.25,1100.0,-1
1.6,0.25,1200.0,-1
1.6,0.25,1500.0,-1
1.6,0.25,2000.0,-1
2.0,0.25,100.0,-1
2.0,0.25,300.0,-1
2.0,0.25,500.0,-1
2.0,0.25,600.0,-1
2.0,0.25,800.0,-1
2.0,0.25,900.0,-1
2.0,0.25,1000.0,-1
2.0,0.25,1100.0,-1
2.0,0.25,1200.0,-1
2.0,0.25,1500.0,-1
2.0,0.25,2000.0,-1
2.4,0.25,100.0,-1
2.4,0.25,300.0,-1
2.4,0.25,500.0,-1
2.4,0.25,600.0,-1
2.4,0.25,800.0,-1
2.4,0.25,900.0,-1
2.4,0.25,1000.0,-1
2.4,0.25,1100.0,-1
2.4,0.25,1200.0,-1
2.4,0.25,1500.0,-1
2.4,0.25,2000.0,-1
2.8,0.25,100.0,-1
2.8,0.25,300.0,-1
2.8,0.25,500.0,-1
2.8,0.25,600.0,-1
2.8,0.25,800.0,-1
2.8,0.25,900.0,-1
2.8,0.25,1000.0,-1
2.8,0.25,1100.0,-1
2.8,0.25,1200.0,-1
2.8,0.25,1500.0,-1
2.8,0.25,2000.0,-1
3.2,0.25,100.0,-1
3.2,0.25,300.0,-1
3.2,0.25,500.0,-1
3.2,0.25,600.0,-1
3.2,0.25,800.0,-1
3.2,0.25,900.0,-1
3.2,0.25,1000.0,-1
3.2,0.25,1100.0,-1
3.2,0.25,1200.0,-1
3.2,0.25,1500.0,-1
3.2,0.25,2000.0,-1
3.6,0.25,100.0,-1
3.6,0.25,300.0,-1
3.6,0.25,500.0,-1
3.6,0.25,600.0,-1
3.6,0.25,800.0,-1
3.6,0.25,900.0,-1
3.6,0.25,1000.0,-1
3.6,0.25,1100.0,-1
3.6,0.25,1200.0,-1
3.6,0.25,1500.0,-1
3.6,0.25,2000.0,-1
4.0,0.25,100.0,-1
4.0,0.25,300.0,-1
4.0,0.25,500.0,-1
4.0,0.25,600.0,-1
4.0,0.25,800.0,-1
4.0,0.25,900.0,-1
4.0,0.25,1000.0,-1
4.0,0.25,1100.0,-1
4.0,0.25,1200.0,-1
4.0,0.25,1500.0,-1
4.0,0.25,2000.0,-1
4.4,0.25,100.0,-1
4.4,0.25,300.0,-1
4.4,0.25,500.0,-1
4.4,0.25,600.0,-1
4.4,0.25,800.0,-1
4.4,0.25,900.0,-1
4.4,0.25,1000.0,-1
4.4,0.25,1100.0,-1
4.4,0.25,1200.0,-1
4.4,0.25,1500.0,-1
4.4,0.25,2000.0,-1
4.8,0.25,100.0,-1
4.8,0.25,300.0,-1
4.8,0.25,500.0,-1
4.8,0.25,600.0,-1
4.8,0.25,800.0,-1
4.8,0.25,900.0,-1
4.8,0.25,1000.0,-1
4.8,0.25,1100.0,-1
4.8,0.25,1200.0,-1
4.8,0.25,1500.0,-1
4.8,0.25,2000.0,-1
5.2,0.25,100.0,-1
5.2,0.25,300.0,-1
