Conc_AP_Lys_250_2_(mM),Conc_AP_Asp_100_2_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
3.2,0.1,-1,0,0.9935392414145099,0.006460758585490112
3.3,0.1,-1,0,0.9932625473845746,0.0067374526154253545
3.4,0.1,-1,0,0.9929565932293372,0.007043406770662841
3.5,0.1,-1,0,0.992623979516793,0.007376020483206958
3.6,0.1,-1,0,0.9922665850980366,0.007733414901963442
3.7,0.1,-1,0,0.9918857064277518,0.008114293572248243
3.8,0.1,-1,0,0.991482161935437,0.008517838064562966
3.9,0.1,-1,0,0.9910563717970717,0.008943628202928267
4.0,0.1,-1,0,0.9906084199686802,0.00939158003131979
4.1,0.1,-1,0,0.990138103084746,0.009861896915253965
4.2,0.1,-1,0,0.9896449694043667,0.010355030595633252
4.3,0.1,-1,0,0.989128350023293,0.010871649976706976
4.4,0.1,-1,0,0.988587383994286,0.011412616005713971
4.5,0.1,-1,0,0.988021038550869,0.01197896144913102
4.6,0.1,-1,0,0.9874281253684103,0.012571874631589708
4.7,0.1,-1,0,0.9868073135969553,0.013192686403044718
4.8,0.1,-1,0,0.9861571402367417,0.013842859763258275
4.9,0.1,-1,0,0.9854760183474127,0.014523981652587281
5.0,0.1,-1,0,0.9847622434624554,0.015237756537544556
5.1,0.1,-1,0,0.9840139985370797,0.015986001462920285
5.2,0.1,0,0,0.9832293576811253,0.016770642318874707
5.3,0.1,-1,0,0.9824062888920935,0.01759371110790653
5.4,0.1,-1,0,0.9815426559414391,0.01845734405856092
5.5,0.1,-1,0,0.9806362195504335,0.019363780449566548
5.6,0.1,-1,0,0.9796846379315411,0.020315362068458853
5.7,0.1,-1,0,0.9786854667582929,0.021314533241707068
5.8,0.1,-1,0,0.9776361585805944,0.022363841419405617
5.9,0.1,-1,0,0.9765340616925187,0.023465938307481338
6.0,0.1,-1,0,0.9753764184208649,0.024623581579135134
6.1,0.1,-1,0,0.974160362793441,0.02583963720655902
6.2,0.1,-1,0,0.9728829175297733,0.027117082470226705
6.3,0.1,-1,0,0.9715409902930787,0.02845900970692128
6.4,0.1,-1,0,0.970131369129831,0.029868630870169
6.5,0.1,-1,0,0.9686507170526966,0.031349282947303436
6.6,0.1,-1,0,0.9670955657284139,0.03290443427158607
6.7,0.1,-1,0,0.9654623082649323,0.03453769173506771
6.8,0.1,-1,0,0.963747191152379,0.036252808847621054
6.9,0.1,-1,0,0.9619463054546031,0.038053694545396866
7.0,0.1,-1,0,0.9600555774535451,0.039944422546454916
7.1,0.1,-1,0,0.9580707590158681,0.041929240984131866
7.2,0.1,-1,0,0.955987418097493,0.04401258190250701
7.3,0.1,-1,0,0.9538009299034229,0.04619907009657709
7.4,0.1,-1,0,0.9515064693863451,0.04849353061365491
7.5,0.1,-1,0,0.9490990059096021,0.050900994090397944
7.6,0.1,-1,0,0.9465733010706572,0.05342669892934282
7.7,0.1,-1,0,0.9439239108193078,0.05607608918069218
7.8,0.1,-1,0,0.9411451931750889,0.058854806824911066
7.9,0.1,-1,0,0.9382313229358488,0.061768677064151234
8.0,0.1,-1,0,0.9351763148760028,0.06482368512399717
8.1,0.1,-1,0,0.9319740569355872,0.06802594306441279
0.1,0.2,-1,0,0.7473427133056703,0.25265728669432974
0.2,0.2,-1,0,0.7542854410926907,0.2457145589073093
0.3,0.2,-1,0,0.7629352507074145,0.23706474929258547
0.4,0.2,-1,0,0.7735698490569121,0.22643015094308794
0.5,0.2,-1,0,0.7864105475674705,0.21358945243252947
0.6,0.2,-1,0,0.8015672914971219,0.19843270850287809
0.7,0.2,-1,0,0.8189762904348754,0.1810237095651246
0.8,0.2,-1,0,0.8383430876638158,0.16165691233618418
0.9,0.2,-1,0,0.8591107896953645,0.14088921030463553
1.0,0.2,-1,0,0.8804761151541243,0.11952388484587573
1.1,0.2,-1,0,0.9014697646525747,0.09853023534742533
1.2,0.2,-1,0,0.9210987387236855,0.07890126127631447
1.3,0.2,-1,0,0.9385197444760252,0.06148025552397485
1.4,0.2,-1,0,0.9531886314075564,0.046811368592443614
1.5,0.2,-1,0,0.9649305978085749,0.03506940219142507
1.6,0.2,-1,0,0.9739081444707836,0.026091855529216446
1.7,0.2,-1,0,0.9805111290985451,0.019488870901454902
1.8,0.2,-1,0,0.9852232659812898,0.014776734018710158
1.9,0.2,-1,0,0.9885144643003514,0.011485535699648608
2.0,0.2,-1,0,0.9907804761347734,0.00921952386522662
2.1,0.2,-1,0,0.9923248336469896,0.007675166353010354
2.2,0.2,-1,0,0.9933664165987466,0.006633583401253418
2.3,0.2,-1,0,0.9940571418387663,0.005942858161233744
2.4,0.2,-1,0,0.9945003342184009,0.005499665781599106
2.5,0.2,-1,0,0.9947658111310602,0.005234188868939782
2.6,0.2,-1,0,0.9949009207116433,0.005099079288356734
2.7,0.2,-1,0,0.9949381187046811,0.005061881295318926
2.8,0.2,-1,0,0.9948999878076847,0.005100012192315262
2.9,0.2,-1,0,0.994802504475615,0.005197495524384976
3.0,0.2,-1,0,0.9946571533346287,0.005342846665371326
3.1,0.2,-1,0,0.9944723002172395,0.005527699782760465
3.2,0.2,-1,0,0.9942540928367407,0.0057459071632592895
3.3,0.2,-1,0,0.9940070608805627,0.005992939119437324
3.4,0.2,-1,0,0.9937345238496391,0.0062654761503608825
3.5,0.2,-1,0,0.9934388745946308,0.006561125405369239
3.6,0.2,-1,0,0.9931217812300019,0.006878218769998057
3.7,0.2,-1,0,0.9927843343584755,0.007215665641524538
3.8,0.2,-1,0,0.992427156765757,0.00757284323424301
3.9,0.2,-1,0,0.9920504866970532,0.007949513302946798
4.0,0.2,-1,0,0.9916542420140786,0.00834575798592141
4.1,0.2,-1,0,0.9912380701723578,0.008761929827642234
4.2,0.2,-1,0,0.9908013874336348,0.009198612566365227
4.3,0.2,-1,0,0.9903434097395802,0.009656590260419762
4.4,0.2,-1,0,0.989863177039183,0.010136822960816971
4.5,0.2,-1,0,0.989359572412468,0.010640427587532031
4.6,0.2,-1,0,0.9888313370300921,0.011168662969907928
4.7,0.2,-1,0,0.9882770817579285,0.0117229182420715
4.8,0.2,-1,0,0.9876952960715926,0.012304703928407434
4.9,0.2,-1,0,0.9870843547935237,0.012915645206476256
5.0,0.2,-1,0,0.9864425230795177,0.013557476920482259
5.1,0.2,-1,0,0.9857679600017946,0.014232039998205437
5.2,0.2,-1,0,0.9850587209979267,0.014941279002073315
5.3,0.2,-1,0,0.9843127594042471,0.015687240595752883
5.4,0.2,-1,0,0.983527927237219,0.016472072762780954
5.5,0.2,-1,0,0.9827019753419108,0.01729802465808916
5.6,0.2,-1,0,0.9818325529968206,0.018167447003179404
5.7,0.2,-1,0,0.9809172070007435,0.019082792999256526
5.8,0.2,-1,0,0.9799533802704445,0.02004661972955546
5.9,0.2,-1,0,0.97893840991037,0.021061590089630045
6.0,0.2,-1,0,0.9778695247209725,0.02213047527902745
6.1,0.2,-1,0,0.9767438420689132,0.02325615793108682
6.2,0.2,-1,0,0.9755583640281884,0.024441635971811593
6.3,0.2,-1,0,0.9743099727019171,0.025690027298082896
6.4,0.2,-1,0,0.9729954246116677,0.02700457538833234
6.5,0.2,-1,0,0.971611344073608,0.028388655926391948
6.6,0.2,-1,0,0.9701542154625713,0.0298457845374287
6.7,0.2,-1,0,0.9686203743445958,0.0313796256554042
6.8,0.2,-1,0,0.9670059974563401,0.03299400254365992
6.9,0.2,-1,0,0.9653070916202751,0.03469290837972494
7.0,0.2,-1,0,0.9635194817361707,0.036480518263829254
7.1,0.2,-1,0,0.9616387981222942,0.03836120187770575
7.2,0.2,-1,0,0.9596604635900121,0.040339536409987886
7.3,0.2,-1,0,0.957579680799995,0.042420319200005
7.4,0.2,-1,0,0.9553914205987439,0.044608579401256065
7.5,0.2,-1,0,0.9530904122458423,0.046909587754157656
7.6,0.2,-1,0,0.9506711366041145,0.04932886339588549
7.7,0.2,-1,0,0.9481278235914488,0.05187217640855124
7.8,0.2,-1,0,0.945454455357094,0.05454554464290595
7.9,0.2,-1,0,0.9426447768275921,0.05735522317240793
8.0,0.2,-1,0,0.9396923153773287,0.06030768462267133
8.1,0.2,-1,0,0.9365904114602017,0.06340958853979828
0.1,0.3,-1,0,0.7642700239937312,0.23572997600626877
0.2,0.3,-1,0,0.7678023533475198,0.23219764665248022
0.3,0.3,-1,0,0.772544190311919,0.227455809688081
0.4,0.3,-1,0,0.7788575966371809,0.2211424033628191
0.5,0.3,-1,0,0.7871227889592092,0.21287721104079083
0.6,0.3,-1,0,0.7976922120835752,0.20230778791642479
0.7,0.3,-1,0,0.8108216784081606,0.18917832159183945
0.8,0.3,-1,0,0.8265832819381558,0.17341671806184422
0.9,0.3,-1,0,0.8447756198452225,0.15522438015477746
1.0,0.3,-1,0,0.8648592314921189,0.13514076850788115
1.1,0.3,-1,0,0.8859534466766945,0.11404655332330549
1.2,0.3,-1,0,0.9069260011855249,0.09307399881447509
1.3,0.3,-1,0,0.9265799128666004,0.07342008713339965
1.4,0.3,-1,0,0.9438946964475008,0.05610530355249921
1.5,0.3,-1,0,0.9582349375265267,0.041765062473473336
1.6,0.3,-1,0,0.9694380096899522,0.030561990310047804
1.7,0.3,-1,0,0.9777510845221968,0.022248915477803166
1.8,0.3,-1,0,0.9836674500801337,0.016332549919866324
1.9,0.3,-1,0,0.9877506955107265,0.012249304489273527
2.0,0.3,-1,0,0.9905119512362717,0.00948804876372833
2.1,0.3,-1,0,0.9923556230323811,0.007644376967618882
2.2,0.3,-1,0,0.9935749436288006,0.006425056371199389
2.3,0.3,-1,0,0.994371287830063,0.005628712169936989
2.4,0.3,-1,0,0.9948788411445548,0.005121158855445174
2.5,0.3,-1,0,0.9951859534140794,0.004814046585920551
2.6,0.3,-1,0,0.9953508740861707,0.004649125913829266
2.7,0.3,-1,0,0.9954124123484007,0.004587587651599279
2.8,0.3,-1,0,0.995396840258195,0.00460315974180503
2.9,0.3,-1,0,0.9953222670244486,0.0046777329755514074
3.0,0.3,-1,0,0.9952013936922413,0.004798606307758746
3.1,0.3,-1,0,0.9950432560417539,0.004956743958246079
3.2,0.3,-1,0,0.99485434142332,0.0051456585766800345
3.3,0.3,-1,0,0.9946393178504422,0.005360682149557761
3.4,0.3,-1,0,0.9944015208911878,0.005598479108812171
3.5,0.3,-1,0,0.9941432869833307,0.005856713016669346
3.6,0.3,-1,0,0.9938661874300578,0.006133812569942165
3.7,0.3,-1,0,0.9935711965905512,0.006428803409448847
3.8,0.3,-1,0,0.9932588153110373,0.006741184688962676
3.9,0.3,-1,0,0.9929291630639909,0.007070836936009073
4.0,0.3,-1,0,0.992582047618157,0.007417952381842952
4.1,0.3,-1,0,0.9922170182018135,0.0077829817981864835
4.2,0.3,-1,0,0.9918334062580243,0.008166593741975703
4.3,0.3,-1,0,0.9914303567497882,0.008569643250211811
4.4,0.3,-1,0,0.991006852146711,0.008993147853288974
4.5,0.3,-1,0,0.9905617307157399,0.009438269284260059
4.6,0.3,-1,0,0.9900937003397985,0.009906299660201512
4.7,0.3,-1,0,0.9896013488191784,0.010398651180821616
4.8,0.3,-1,0,0.9890831514093179,0.010916848590682093
4.9,0.3,-1,0,0.9885374761823869,0.011462523817613146
5.0,0.3,-1,0,0.9879625876841374,0.012037412315862639
5.1,0.3,-1,0,0.9873566492550481,0.012643350744951931
5.2,0.3,-1,0,0.9867177243115748,0.013282275688425216
5.3,0.3,-1,0,0.9860437768006705,0.013956223199329543
5.4,0.3,-1,0,0.9853326710042438,0.01466732899575618
5.5,0.3,-1,0,0.9845821708039466,0.01541782919605339
5.6,0.3,-1,0,0.9837899384700677,0.016210061529932318
5.7,0.3,-1,0,0.9829535330203498,0.017046466979650177
5.8,0.3,-1,0,0.982070408126333,0.01792959187366705
5.9,0.3,-1,0,0.9811379095326629,0.01886209046733711
6.0,0.3,-1,0,0.9801532719144461,0.019846728085553877
6.1,0.3,-1,0,0.9791136150824968,0.020886384917503165
6.2,0.3,-1,0,0.9780159393970962,0.02198406060290381
6.3,0.3,-1,0,0.9768571202756675,0.023142879724332488
6.4,0.3,-1,0,0.9756339016308857,0.024366098369114297
6.5,0.3,-1,0,0.9743428881146201,0.02565711188537989
6.6,0.3,-1,0,0.9729805360248065,0.027019463975193503
6.7,0.3,-1,0,0.9715431427886188,0.028456857211381248
6.8,0.3,-1,0,0.9700268349741918,0.029973165025808157
6.9,0.3,-1,0,0.9684275548422647,0.031572445157735274
7.0,0.3,-1,0,0.9667410455584786,0.03325895444152138
7.1,0.3,-1,0,0.9649628352899526,0.035037164710047364
7.2,0.3,-1,0,0.9630882205591433,0.03691177944085666
7.3,0.3,-1,0,0.9611122493935227,0.03888775060647731
7.4,0.3,-1,0,0.9590297050101526,0.04097029498984739
7.5,0.3,-1,0,0.9568350909844412,0.043164909015558806
7.6,0.3,-1,0,0.954522619089289,0.04547738091071096
7.7,0.3,-1,0,0.9520862012400357,0.047913798759964266
7.8,0.3,-1,0,0.9495194472001458,0.050480552799854195
7.9,0.3,-1,0,0.9468156699501833,0.05318433004981671
8.0,0.3,-1,0,0.9439679007814448,0.05603209921855523
8.1,0.3,-1,0,0.9409689163194344,0.059031083680565644
0.1,0.4,-1,0,0.7819861930153138,0.2180138069846862
0.2,0.4,-1,0,0.7818288193714125,0.21817118062858754
0.3,0.4,-1,0,0.7820985099720019,0.21790149002799808
0.4,0.4,-1,0,0.7831578435633446,0.2168421564366554
0.5,0.4,-1,0,0.7854794009776924,0.21452059902230758
0.6,0.4,-1,0,0.7896361671251952,0.21036383287480476
0.7,0.4,-1,0,0.7962579049126361,0.20374209508736385
0.8,0.4,-1,0,0.805941231538668,0.19405876846133197
0.9,0.4,-1,0,0.8191116980686957,0.18088830193130434
1.0,0.4,-1,0,0.8358560141682574,0.1641439858317426
1.1,0.4,-1,0,0.8557679827854372,0.1442320172145628
1.2,0.4,-1,0,0.8778742761069225,0.12212572389307752
1.3,0.4,-1,0,0.9007109782451153,0.09928902175488474
1.4,0.4,-1,0,0.922586439089514,0.07741356091048601
1.5,0.4,-1,0,0.9419774386306017,0.05802256136939832
1.6,0.4,-1,0,0.9579014624054025,0.042098537594597474
1.7,0.4,-1,0,0.9700841283448653,0.02991587165513465
1.8,0.4,-1,0,0.9788560922230545,0.021143907776945525
1.9,0.4,-1,0,0.9848815821363814,0.01511841786361856
2.0,0.4,-1,0,0.9888879117770557,0.011112088222944294
2.1,0.4,-1,0,0.9914999155545274,0.008500084445472567
2.2,0.4,-1,0,0.9931847021784961,0.006815297821503918
2.3,0.4,-1,0,0.9942629881518315,0.0057370118481685495
2.4,0.4,-1,0,0.9949443620918146,0.0050556379081854175
2.5,0.4,-1,0,0.9953625922964875,0.004637407703512508
2.6,0.4,-1,0,0.9956026417526118,0.004397358247388183
