Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
1.4,0.5,1,1,0.14401877400814556,0.8559812259918544
1.5,0.5,1,1,0.20947257121451912,0.7905274287854809
1.6,0.5,1,1,0.3435186671489987,0.6564813328510013
1.7,0.5,0,0,0.5606320892455159,0.4393679107544841
1.8,0.5,0,0,0.789098117617641,0.21090188238235896
1.9,0.5,0,0,0.9271461514344992,0.07285384856550081
2.0,0.5,-1,0,0.9793842290479233,0.020615770952076673
2.1,0.5,-1,0,0.9945409747783742,0.0054590252216257795
2.2,0.5,-1,0,0.9985583392198123,0.0014416607801877035
2.3,0.5,-1,0,0.9995916857319571,0.0004083142680428864
2.4,0.5,-1,0,0.999865654388941,0.00013434561105896137
2.5,0.5,-1,0,0.9999464518134573,5.354818654268456e-05
2.6,0.5,-1,0,0.9999741017411452,2.589825885479513e-05
2.7,0.5,-1,0,0.999985130449204,1.4869550795992836e-05
2.8,0.5,-1,0,0.9999901656105976,9.834389402385568e-06
2.9,0.5,-1,0,0.9999927234674715,7.276532528521784e-06
3.0,0.5,-1,0,0.9999941226299143,5.877370085727307e-06
3.1,0.5,-1,0,0.9999949157921719,5.0842078280766145e-06
3.2,0.5,-1,0,0.9999953570395519,4.642960448109079e-06
3.3,0.5,-1,0,0.9999955715961732,4.428403826750582e-06
3.4,0.5,-1,0,0.9999956236441676,4.3763558323917096e-06
3.5,0.5,-1,0,0.9999955457037686,4.454296231415356e-06
3.6,0.5,-1,0,0.9999953521986527,4.647801347346103e-06
3.7,0.5,-1,0,0.9999950459591673,4.954040832672035e-06
3.8,0.5,-1,0,0.9999946213216617,5.378678338274767e-06
3.9,0.5,-1,0,0.999994065423607,5.9345763929741224e-06
4.0,0.5,-1,0,0.9999933584465452,6.641553454755922e-06
4.1,0.5,-1,0,0.9999924731307601,7.526869239882217e-06
4.2,0.5,-1,0,0.9999913737135557,8.626286444268771e-06
4.3,0.5,-1,0,0.9999900143249079,9.98567509213899e-06
4.4,0.5,-1,0,0.9999883367894427,1.1663210557344428e-05
4.5,0.5,-1,0,0.9999862677733518,1.373222664824425e-05
4.6,0.5,-1,0,0.9999837151217434,1.6284878256556112e-05
4.7,0.5,-1,0,0.9999805632271546,1.94367728454381e-05
4.8,0.5,0,0,0.9999766671926409,2.333280735911103e-05
4.9,0.5,-1,0,0.9999718455068205,2.8154493179499696e-05
5.0,0.5,-1,0,0.9999658708767356,3.412912326439255e-05
5.1,0.5,-1,0,0.9999584587787922,4.154122120780812e-05
5.2,0.5,-1,0,0.9999492531967462,5.074680325378722e-05
5.3,0.5,-1,0,0.9999378089073616,6.219109263838618e-05
5.4,0.5,-1,0,0.9999235695355537,7.643046444627544e-05
5.5,0.5,-1,0,0.9999058404742982,9.415952570179797e-05
5.6,0.5,-1,0,0.9998837555962155,0.00011624440378454892
5.7,0.5,-1,0,0.9998562365337875,0.0001437634662124765
5.8,0.5,-1,0,0.9998219431365669,0.0001780568634330848
5.9,0.5,-1,0,0.9997792135627606,0.0002207864372394397
6.0,0.5,-1,0,0.9997259923482034,0.0002740076517966372
6.1,0.5,-1,0,0.9996597447238855,0.00034025527611447615
6.2,0.5,-1,0,0.999577355455699,0.0004226445443009652
6.3,0.5,-1,0,0.9994750105973935,0.0005249894026064794
6.4,0.5,-1,0,0.9993480607947731,0.0006519392052268813
6.5,0.5,-1,0,0.9991908652081065,0.0008091347918934844
6.6,0.5,-1,0,0.9989966157341996,0.0010033842658003778
6.7,0.5,-1,0,0.9987571420443828,0.0012428579556171826
6.8,0.5,-1,0,0.9984626990061543,0.0015373009938457471
6.9,0.5,-1,0,0.9981017393045022,0.001898260695497811
7.0,0.5,-1,0,0.9976606754871682,0.0023393245128318085
7.1,0.5,-1,0,0.9971236371746954,0.002876362825304568
7.2,0.5,-1,0,0.9964722307132661,0.0035277692867339283
7.3,0.5,-1,0,0.9956853100601393,0.0043146899398607275
7.4,0.5,-1,0,0.9947387690933738,0.005261230906626224
7.5,0.5,-1,0,0.9936053668185423,0.006394633181457721
7.6,0.5,-1,0,0.9922545981308986,0.007745401869101443
7.7,0.5,-1,0,0.9906526239162758,0.009347376083724157
7.8,0.5,-1,0,0.9887622755102257,0.011237724489774337
7.9,0.5,-1,0,0.9865431499276838,0.013456850072316229
8.0,0.5,-1,0,0.9839518139790471,0.016048186020952926
8.1,0.5,-1,0,0.9809421373020086,0.019057862697991368
0.1,0.6,-1,0,0.999454433019082,0.0005455669809180108
0.2,0.6,-1,0,0.9991463555732025,0.000853644426797473
0.3,0.6,-1,0,0.9981819062743398,0.0018180937256602192
0.4,0.6,-1,0,0.9943679159853218,0.005632084014678185
0.5,0.6,-1,0,0.9756864649310728,0.024313535068927195
0.6,0.6,-1,0,0.8775900375192123,0.12240996248078773
0.7,0.6,0,0,0.5375655796291028,0.4624344203708972
0.8,0.6,-1,1,0.16873138399319032,0.8312686160068097
0.9,0.6,1,1,0.04471439479050332,0.9552856052094967
1.0,0.6,-1,1,0.014982240605036168,0.9850177593949638
1.1,0.6,-1,1,0.006628369849863702,0.9933716301501363
1.2,0.6,-1,1,0.0037039641897536058,0.9962960358102464
1.3,0.6,-1,1,0.0025365031859791998,0.9974634968140208
1.4,0.6,-1,1,0.002091384050004308,0.9979086159499957
1.5,0.6,-1,1,0.0020554139495061463,0.9979445860504939
1.6,0.6,-1,1,0.0023998136193768005,0.9976001863806232
1.7,0.6,-1,1,0.003335176779955873,0.9966648232200441
1.8,0.6,-1,1,0.0055472300989549694,0.994452769901045
1.9,0.6,-1,1,0.011147529899062647,0.9888524701009374
2.0,0.6,1,1,0.027510021310376942,0.9724899786896231
2.1,0.6,-1,1,0.08266809680151255,0.9173319031984875
2.2,0.6,1,1,0.26419307556267313,0.7358069244373269
2.3,0.6,0,0,0.63025657007978,0.36974342992022
2.4,0.6,-1,0,0.8998108148572328,0.1001891851427672
2.5,0.6,-1,0,0.9797149629664546,0.02028503703354545
2.6,0.6,-1,0,0.9958865825151406,0.004113417484859383
2.7,0.6,-1,0,0.999095410687687,0.0009045893123129645
