Conc_AP_Lys_20_2_(mM),Conc_AP_Asp_200_(mM),Phase,predicted_Phase,probability_Phase_0,probability_Phase_1
3.0,0.2,-1,0,0.9792283086793532,0.020771691320646823
3.1,0.2,-1,0,0.982575531804514,0.017424468195486043
3.2,0.2,-1,0,0.9852393558281847,0.01476064417181533
3.3,0.2,-1,0,0.9873540361114692,0.012645963888530787
3.4,0.2,-1,0,0.9890298305989518,0.010970169401048224
3.5,0.2,-1,0,0.9903557102302329,0.009644289769767056
3.6,0.2,0,0,0.9914025214495723,0.008597478550427695
3.7,0.2,-1,0,0.9922261233654126,0.0077738766345873955
3.8,0.2,-1,0,0.9928702401663259,0.007129759833674143
3.9,0.2,-1,0,0.9933689171289188,0.006631082871081162
4.0,0.2,-1,0,0.9937485588671962,0.006251441132803848
4.1,0.2,-1,0,0.9940295774687229,0.005970422531277109
4.2,0.2,-1,0,0.9942277003181061,0.0057722996818938554
4.3,0.2,-1,0,0.9943549934541807,0.005645006545819342
4.4,0.2,-1,0,0.9944206538553999,0.005579346144600095
4.5,0.2,-1,0,0.9944316176639632,0.005568382336036848
4.6,0.2,-1,0,0.9943930239068095,0.005606976093190497
4.7,0.2,-1,0,0.9943085661194573,0.005691433880542718
4.8,0.2,-1,0,0.9941807581371904,0.0058192418628095766
4.9,0.2,-1,0,0.9940111354165992,0.005988864583400755
5.0,0.2,-1,0,0.9938004095095039,0.006199590490496121
5.1,0.2,-1,0,0.9935485906135,0.006451409386500018
5.2,0.2,-1,0,0.9932550912105853,0.006744908789414694
5.3,0.2,-1,0,0.9929188224062955,0.007081177593704524
5.4,0.2,-1,0,0.9925382934405889,0.007461706559411141
5.5,0.2,-1,0,0.9921117235452357,0.00788827645476431
5.6,0.2,-1,0,0.9916371736422889,0.008362826357711128
5.7,0.2,-1,0,0.9911127028897226,0.008887297110277359
5.8,0.2,-1,0,0.9905365516027587,0.009463448397241336
5.9,0.2,-1,0,0.9899073474468878,0.010092652553112202
6.0,0.2,-1,0,0.9892243262166858,0.010775673783314232
6.1,0.2,-1,0,0.9884875524099925,0.011512447590007469
6.2,0.2,-1,0,0.9876981190881224,0.01230188091187756
6.3,0.2,-1,0,0.9868583023406927,0.013141697659307283
6.4,0.2,-1,0,0.9859716442953186,0.014028355704681417
6.5,0.2,-1,0,0.9850429411759478,0.014957058824052183
6.6,0.2,-1,0,0.9840781198064406,0.015921880193559446
6.7,0.2,-1,0,0.9830839968249165,0.01691600317508346
6.8,0.2,-1,0,0.9820679283437812,0.017932071656218795
6.9,0.2,-1,0,0.9810373716276217,0.018962628372378276
7.0,0.2,-1,0,0.9799993922050589,0.02000060779494106
7.1,0.2,-1,0,0.9789601574212838,0.02103984257871616
7.2,0.2,-1,0,0.9779244594551528,0.022075540544847172
7.3,0.2,-1,0,0.976895307127279,0.02310469287272099
7.4,0.2,-1,0,0.9758736171392002,0.024126382860799822
7.5,0.2,-1,0,0.9748580236703219,0.025141976329678073
7.6,0.2,-1,0,0.9738448123528087,0.02615518764719127
7.7,0.2,-1,0,0.9728279727235076,0.027172027276492372
7.8,0.2,-1,0,0.971799353704796,0.028200646295204024
7.9,0.2,-1,0,0.9707489004393892,0.029251099560610783
