,Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase,Phase_0_probability,Phase_1_probability
5013,7.3,6.2,1,0.08021089591602504,0.919789104083975
5014,7.4,6.2,1,0.08453337104856473,0.9154666289514353
5015,7.5,6.2,1,0.0889250717015102,0.9110749282984898
5016,7.6,6.2,1,0.09338128297576986,0.9066187170242301
5017,7.7,6.2,1,0.09789743473459112,0.9021025652654089
5018,7.8,6.2,1,0.1024691124060837,0.8975308875939163
5019,7.9,6.2,1,0.10709206530725623,0.8929079346927438
5020,8.0,6.2,1,0.11176221269704456,0.8882377873029554
5021,8.1,6.2,1,0.1164756477244282,0.8835243522755718
5022,0.1,6.3,0,0.999006531479381,0.0009934685206189897
5023,0.2,6.3,0,0.9989467519420714,0.001053248057928613
5024,0.3,6.3,0,0.9988009557742998,0.0011990442257001632
5025,0.4,6.3,0,0.9985165800360392,0.0014834199639608414
5026,0.5,6.3,0,0.9979875593619454,0.0020124406380546134
5027,0.6,6.3,0,0.9969953299461167,0.003004670053883274
5028,0.7,6.3,0,0.9950786144665926,0.004921385533407374
5029,0.8,6.3,0,0.9912338137016832,0.008766186298316825
5030,0.9,6.3,0,0.9831618276484733,0.016838172351526737
5031,1.0,6.3,0,0.9653037103989845,0.03469628960101545
5032,1.1,6.3,0,0.9246644413451577,0.07533555865484232
5033,1.2,6.3,0,0.835623971519226,0.16437602848077404
5034,1.3,6.3,0,0.6668123823790211,0.3331876176209789
5035,1.4,6.3,1,0.43538107642389434,0.5646189235761057
5036,1.5,6.3,1,0.23279994949172078,0.7672000505082792
5037,1.6,6.3,1,0.11163160676198913,0.8883683932380109
5038,1.7,6.3,1,0.052283392234585335,0.9477166077654147
5039,1.8,6.3,1,0.02515753869784021,0.9748424613021598
5040,1.9,6.3,1,0.012758746743998017,0.987241253256002
5041,2.0,6.3,1,0.006853486674572196,0.9931465133254278
5042,2.1,6.3,1,0.003902782952764028,0.996097217047236
5043,2.2,6.3,1,0.0023684687679406125,0.9976315312320594
5044,2.3,6.3,1,0.0015424920088662475,0.9984575079911338
5045,2.4,6.3,1,0.0010835294536946094,0.9989164705463054
5046,2.5,6.3,1,0.0008222845623322428,0.9991777154376678
5047,2.6,6.3,1,0.0006729131303018221,0.9993270868696982
5048,2.7,6.3,1,0.0005910251969680758,0.9994089748030319
5049,2.8,6.3,1,0.0005534004050105068,0.9994465995949895
5050,2.9,6.3,1,0.0005480474354726539,0.9994519525645273
5051,3.0,6.3,1,0.0005692493180049496,0.999430750681995
5052,3.1,6.3,1,0.0006150466011831668,0.9993849533988168
5053,3.2,6.3,1,0.000685933879822187,0.9993140661201778
5054,3.3,6.3,1,0.0007841702172299847,0.99921582978277
5055,3.4,6.3,1,0.0009134019977636854,0.9990865980022363
5056,3.5,6.3,1,0.0010784414762383676,0.9989215585237616
5057,3.6,6.3,1,0.001285116723693136,0.9987148832763069
5058,3.7,6.3,1,0.001540146546062715,0.9984598534539373
5059,3.8,6.3,1,0.0018510150706561035,0.9981489849293439
5060,3.9,6.3,1,0.0022258333322042745,0.9977741666677957
5061,4.0,6.3,1,0.0026731833738722344,0.9973268166261278
5062,4.1,6.3,1,0.0032019458161585135,0.9967980541838415
5063,4.2,6.3,1,0.003821115484697657,0.9961788845153023
5064,4.3,6.3,1,0.004539611781979147,0.9954603882180209
5065,4.4,6.3,1,0.005366091469568346,0.9946339085304317
5066,4.5,6.3,1,0.0063087714429457264,0.9936912285570543
5067,4.6,6.3,1,0.007375268282430625,0.9926247317175694
5068,4.7,6.3,1,0.008572460013169803,0.9914275399868302
5069,4.8,6.3,1,0.00990637389679705,0.990093626103203
5070,4.9,6.3,1,0.011382102349557499,0.9886178976504425
5071,5.0,6.3,1,0.013003747476091121,0.9869962525239089
5072,5.1,6.3,1,0.014774393276184128,0.9852256067238159
5073,5.2,6.3,1,0.016696103466870227,0.9833038965331298
5074,5.3,6.3,1,0.018769942023141084,0.9812300579768589
5075,5.4,6.3,1,0.02099601302222709,0.9790039869777729
5076,5.5,6.3,1,0.023373516150286378,0.9766264838497136
5077,5.6,6.3,1,0.025900814193960287,0.9740991858060397
5078,5.7,6.3,1,0.028575509036613767,0.9714244909633862
5079,5.8,6.3,1,0.03139452295590672,0.9686054770440933
5080,5.9,6.3,1,0.03435418241883781,0.9656458175811622
5081,6.0,6.3,1,0.03745030199388566,0.9625496980061143
5082,6.1,6.3,1,0.040678266425516085,0.9593217335744839
5083,6.2,6.3,1,0.044033109349584265,0.9559668906504157
